manga	link
BLACK TORCH	https://www.animeclick.it/manga/22071/black-torch
BLACK★ROCK SHOOTER-CHAN	https://www.animeclick.it/manga/14228/black-rock-shooter-chan
BLACK★ROCK SHOOTER: THE GAME (YONKOMA)	https://www.animeclick.it/manga/14249/black-rock-shooter-the-game-yonkoma
BLAST OF TEMPEST	https://www.animeclick.it/manga/11501/zetsuen-no-tempest
BLATTODEA	https://www.animeclick.it/manga/31719/blattodea
BLAZER DRIVE	https://www.animeclick.it/manga/10235/blazer-drive
BLEACH	https://www.animeclick.it/manga/9546/bleach
BLOOD - THE LAST VAMPIRE	https://www.animeclick.it/manga/9651/blood-the-last-vampire
BLOOD BLOCKADE BATTLEFRONT	https://www.animeclick.it/manga/11698/kekkai-sensen
BLOOD OF MATOOLS: LA STIRPE DEI MATOOLS	https://www.animeclick.it/manga/11798/blood-of-matools
BLOOD PARADE	https://www.animeclick.it/manga/15095/blood-parade
BLOOD-C	https://www.animeclick.it/manga/12617/blood-c
BLOOD-C: I RACCONTI DELLA SEDICESIMA NOTTE	https://www.animeclick.it/manga/13620/blood-c-izayoi-kitan
BLOOD+	https://www.animeclick.it/manga/9893/blood-plus
BLOOD+ ADAGIO	https://www.animeclick.it/manga/9938/blood-adagio
BLOODY CROSS	https://www.animeclick.it/manga/15704/bloody-cross
BLOODY JUNKIE	https://www.animeclick.it/manga/13878/bloody-junkie
BLOODY MAIDEN - L'ISOLA DEI TREDICI DEMONI	https://www.animeclick.it/manga/13858/bloody-maiden-toomarimiki-no-shima
BLOODY MONDAY	https://www.animeclick.it/manga/10605/bloody-monday-1
BLOODY MONDAY - LAST SEASON	https://www.animeclick.it/manga/11951/bloody-monday-3
BLOODY MONDAY SEASON 2 - PANDORA'S BOX	https://www.animeclick.it/manga/10606/bloody-monday-2
BLUE DRAGON RAL GRAD	https://www.animeclick.it/manga/9939/blue-dragon-ral-grad
BLUE EXORCIST	https://www.animeclick.it/manga/11265/aono-exorcist
BLUE FLAG	https://www.animeclick.it/manga/19721/ao-no-flag
BLUE LOCK	https://www.animeclick.it/manga/28155/blue-lock
BLUE-BLOOD GEAR	https://www.animeclick.it/manga/12266/seiketsu-no-haguruma
BOBOBO-BO BO-BOBO	https://www.animeclick.it/manga/9840/bobobo-bo-bo-bobo
BŌKENSHA LICENSE O HAKUDATSU SARETA OSSAN DAKEDO MANAMUSUME GA DEKITA NODE NONBIRI JINSEI O ŌKA SURU	https://www.animeclick.it/manga/26319/bokensha-license-o-hakudatsu-sareta-ossan-dakedo-manamusume-ga-dekita-node-nonbiri-jinsei-o-oka-suru
BOKU GA BOKU DE ARU TAME NI.	https://www.animeclick.it/manga/22567/boku-ga-boku-de-aru-tame-ni
BOKU HA OHIMESAMA NI NARENAI	https://www.animeclick.it/manga/19008/boku-wa-ohime-sama-ni-narenai
BOKU NO KANOJO GA MAJIME SUGIRU SHOJO BITCH NA KEN	https://www.animeclick.it/manga/20766/boku-no-kanojo-ga-majime-sugiru-shojo-bitch-na-ken
BOKU NO KANOJO WA SAIKOU DESU!	https://www.animeclick.it/manga/24591/boku-no-kanojo-wa-saikou-desu
